Date,Day,Building_Name,Building_Type,Time_Slot,Occupancy_Count,Electricity_Consumed_kWh,Peak_Demand_kW,Temperature_C,Renewable_Energy_kWh,Grid_Energy_kWh,Cost_Per_kWh,Total_Cost_INR,Carbon_Emission_kg,Holiday_Flag
2025-01-02,Thursday,Hostel A,Hostel,Morning,464,342,85.5,25,54,288,8,2736,201.6,No
2025-01-02,Thursday,Hostel A,Hostel,Afternoon,494,411,102.8,25,89,322,8,3288,225.4,No
2025-01-02,Thursday,Hostel A,Hostel,Evening,467,292,73,25,27,265,8,2336,185.5,No
2025-01-02,Thursday,Hostel A,Hostel,Night,254,116,29,25,0,116,8,928,81.2,No
2025-01-02,Thursday,Hostel B,Hostel,Morning,318,296,74,25,50,246,8,2368,172.2,No
2025-01-02,Thursday,Hostel B,Hostel,Afternoon,305,416,104,25,56,360,8,3328,252,No
2025-01-02,Thursday,Hostel B,Hostel,Evening,548,279,69.8,25,51,228,8,2232,159.6,No
2025-01-02,Thursday,Hostel B,Hostel,Night,464,104,26,25,0,104,8,832,72.8,No
2025-01-02,Thursday,Cafeteria,Cafeteria,Morning,98,194,48.5,25,42,152,8,1552,106.4,No
2025-01-02,Thursday,Cafeteria,Cafeteria,Afternoon,323,201,50.2,25,26,175,8,1608,122.5,No
2025-01-02,Thursday,Cafeteria,Cafeteria,Evening,88,172,43,25,26,146,8,1376,102.2,No
2025-01-02,Thursday,Cafeteria,Cafeteria,Night,69,92,23,25,0,92,8,736,64.4,No
2025-01-03,Friday,CSE Block,Academic,Morning,266,249,62.2,26,20,229,8,1992,160.3,No
2025-01-03,Friday,CSE Block,Academic,Afternoon,199,282,70.5,26,55,227,8,2256,158.9,No
2025-01-03,Friday,CSE Block,Academic,Evening,159,185,46.2,26,19,166,8,1480,116.2,No
2025-01-03,Friday,CSE Block,Academic,Night,229,101,25.2,26,0,101,8,808,70.7,No
2025-01-03,Friday,ECE Block,Academic,Morning,433,221,55.2,26,22,199,8,1768,139.3,No
2025-01-03,Friday,ECE Block,Academic,Afternoon,328,278,69.5,26,23,255,8,2224,178.5,No
2025-01-03,Friday,ECE Block,Academic,Evening,372,190,47.5,26,40,150,8,1520,105,No
2025-01-03,Friday,ECE Block,Academic,Night,253,78,19.5,26,0,78,8,624,54.6,No
2025-01-03,Friday,EEE Block,Academic,Morning,422,221,55.2,26,24,197,8,1768,137.9,No
2025-01-03,Friday,EEE Block,Academic,Afternoon,161,296,74,26,42,254,8,2368,177.8,No
2025-01-03,Friday,EEE Block,Academic,Evening,403,191,47.8,26,16,175,8,1528,122.5,No
2025-01-03,Friday,EEE Block,Academic,Night,185,65,16.2,26,0,65,8,520,45.5,No
2025-01-03,Friday,Mechanical Lab,Laboratory,Morning,109,439,109.8,26,61,378,8,3512,264.6,No
2025-01-03,Friday,Mechanical Lab,Laboratory,Afternoon,159,575,143.8,26,73,502,8,4600,351.4,No
2025-01-03,Friday,Mechanical Lab,Laboratory,Evening,79,418,104.5,26,68,350,8,3344,245,No
2025-01-03,Friday,Mechanical Lab,Laboratory,Night,173,168,42,26,0,168,8,1344,117.6,No
2025-01-03,Friday,Civil Block,Academic,Morning,328,198,49.5,26,42,156,8,1584,109.2,No
2025-01-03,Friday,Civil Block,Academic,Afternoon,300,268,67,26,32,236,8,2144,165.2,No
2025-01-03,Friday,Civil Block,Academic,Evening,317,182,45.5,26,34,148,8,1456,103.6,No
2025-01-03,Friday,Civil Block,Academic,Night,450,106,26.5,26,0,106,8,848,74.2,No
2025-01-03,Friday,Library,Library,Morning,298,176,44,26,36,140,8,1408,98,No
2025-01-03,Friday,Library,Library,Afternoon,211,231,57.8,26,40,191,8,1848,133.7,No
2025-01-03,Friday,Library,Library,Evening,107,151,37.8,26,14,137,8,1208,95.9,No
2025-01-03,Friday,Library,Library,Night,248,79,19.8,26,0,79,8,632,55.3,No
2025-01-03,Friday,Administration,Administration,Morning,67,146,36.5,26,27,119,8,1168,83.3,No
2025-01-03,Friday,Administration,Administration,Afternoon,50,209,52.2,26,35,174,8,1672,121.8,No
2025-01-03,Friday,Administration,Administration,Evening,39,116,29,26,9,107,8,928,74.9,No
2025-01-03,Friday,Administration,Administration,Night,110,73,18.2,26,0,73,8,584,51.1,No
2025-01-03,Friday,Hostel A,Hostel,Morning,399,332,83,26,28,304,8,2656,212.8,No
2025-01-03,Friday,Hostel A,Hostel,Afternoon,412,437,109.2,26,59,378,8,3496,264.6,No
2025-01-03,Friday,Hostel A,Hostel,Evening,331,316,79,26,58,258,8,2528,180.6,No
2025-01-03,Friday,Hostel A,Hostel,Night,508,154,38.5,26,0,154,8,1232,107.8,No
2025-01-03,Friday,Hostel B,Hostel,Morning,407,303,75.8,26,56,247,8,2424,172.9,No
2025-01-03,Friday,Hostel B,Hostel,Afternoon,354,421,105.2,26,82,339,8,3368,237.3,No
2025-01-03,Friday,Hostel B,Hostel,Evening,507,307,76.8,26,29,278,8,2456,194.6,No
2025-01-03,Friday,Hostel B,Hostel,Night,476,121,30.2,26,0,121,8,968,84.7,No
2025-01-03,Friday,Cafeteria,Cafeteria,Morning,146,163,40.8,26,31,132,8,1304,92.4,No
2025-01-03,Friday,Cafeteria,Cafeteria,Afternoon,301,243,60.8,26,36,207,8,1944,144.9,No
2025-01-03,Friday,Cafeteria,Cafeteria,Evening,219,144,36,26,20,124,8,1152,86.8,No
2025-01-03,Friday,Cafeteria,Cafeteria,Night,201,64,16,26,0,64,8,512,44.8,No
2025-01-04,Saturday,CSE Block,Academic,Morning,88,223,55.8,33,39,184,8,1784,128.8,Yes
2025-01-04,Saturday,CSE Block,Academic,Afternoon,84,314,78.5,33,42,272,8,2512,190.4,Yes
2025-01-04,Saturday,CSE Block,Academic,Evening,123,216,54,33,37,179,8,1728,125.3,Yes
2025-01-04,Saturday,CSE Block,Academic,Night,127,85,21.2,33,0,85,8,680,59.5,Yes
2025-01-04,Saturday,ECE Block,Academic,Morning,180,220,55,33,19,201,8,1760,140.7,Yes
2025-01-04,Saturday,ECE Block,Academic,Afternoon,108,294,73.5,33,31,263,8,2352,184.1,Yes
2025-01-04,Saturday,ECE Block,Academic,Evening,185,214,53.5,33,39,175,8,1712,122.5,Yes
2025-01-04,Saturday,ECE Block,Academic,Night,137,99,24.8,33,0,99,8,792,69.3,Yes
2025-01-04,Saturday,EEE Block,Academic,Morning,151,216,54,33,31,185,8,1728,129.5,Yes
2025-01-04,Saturday,EEE Block,Academic,Afternoon,98,273,68.2,33,59,214,8,2184,149.8,Yes
2025-01-04,Saturday,EEE Block,Academic,Evening,175,203,50.8,33,26,177,8,1624,123.9,Yes
2025-01-04,Saturday,EEE Block,Academic,Night,166,83,20.8,33,0,83,8,664,58.1,Yes
2025-01-04,Saturday,Mechanical Lab,Laboratory,Morning,52,449,112.2,33,36,413,8,3592,289.1,Yes
2025-01-04,Saturday,Mechanical Lab,Laboratory,Afternoon,45,589,147.2,33,68,521,8,4712,364.7,Yes
2025-01-04,Saturday,Mechanical Lab,Laboratory,Evening,57,392,98,33,68,324,8,3136,226.8,Yes
2025-01-04,Saturday,Mechanical Lab,Laboratory,Night,47,170,42.5,33,0,170,8,1360,119,Yes
2025-01-04,Saturday,Civil Block,Academic,Morning,81,176,44,33,19,157,8,1408,109.9,Yes
2025-01-04,Saturday,Civil Block,Academic,Afternoon,76,244,61,33,43,201,8,1952,140.7,Yes
2025-01-04,Saturday,Civil Block,Academic,Evening,153,152,38,33,28,124,8,1216,86.8,Yes
2025-01-04,Saturday,Civil Block,Academic,Night,101,65,16.2,33,0,65,8,520,45.5,Yes
2025-01-04,Saturday,Library,Library,Morning,70,161,40.2,33,30,131,8,1288,91.7,Yes
2025-01-04,Saturday,Library,Library,Afternoon,92,218,54.5,33,42,176,8,1744,123.2,Yes
2025-01-04,Saturday,Library,Library,Evening,44,143,35.8,33,17,126,8,1144,88.2,Yes
2025-01-04,Saturday,Library,Library,Night,112,78,19.5,33,0,78,8,624,54.6,Yes
2025-01-04,Saturday,Administration,Administration,Morning,13,167,41.8,33,22,145,8,1336,101.5,Yes
2025-01-04,Saturday,Administration,Administration,Afternoon,48,185,46.2,33,40,145,8,1480,101.5,Yes
2025-01-04,Saturday,Administration,Administration,Evening,22,114,28.5,33,23,91,8,912,63.7,Yes
2025-01-04,Saturday,Administration,Administration,Night,20,46,11.5,33,0,46,8,368,32.2,Yes
2025-01-04,Saturday,Hostel A,Hostel,Morning,422,332,83,33,56,276,8,2656,193.2,Yes
2025-01-04,Saturday,Hostel A,Hostel,Afternoon,477,427,106.8,33,45,382,8,3416,267.4,Yes
2025-01-04,Saturday,Hostel A,Hostel,Evening,370,273,68.2,33,21,252,8,2184,176.4,Yes
2025-01-04,Saturday,Hostel A,Hostel,Night,378,111,27.8,33,0,111,8,888,77.7,Yes
2025-01-04,Saturday,Hostel B,Hostel,Morning,506,293,73.2,33,63,230,8,2344,161,Yes
2025-01-04,Saturday,Hostel B,Hostel,Afternoon,460,420,105,33,67,353,8,3360,247.1,Yes
2025-01-04,Saturday,Hostel B,Hostel,Evening,265,281,70.2,33,37,244,8,2248,170.8,Yes
2025-01-04,Saturday,Hostel B,Hostel,Night,283,116,29,33,0,116,8,928,81.2,Yes
2025-01-04,Saturday,Cafeteria,Cafeteria,Morning,49,157,39.2,33,22,135,8,1256,94.5,Yes
2025-01-04,Saturday,Cafeteria,Cafeteria,Afternoon,29,248,62,33,50,198,8,1984,138.6,Yes
2025-01-04,Saturday,Cafeteria,Cafeteria,Evening,119,171,42.8,33,37,134,8,1368,93.8,Yes
2025-01-04,Saturday,Cafeteria,Cafeteria,Night,50,55,13.8,33,0,55,8,440,38.5,Yes
2025-01-05,Sunday,CSE Block,Academic,Morning,158,225,56.2,33,18,207,8,1800,144.9,Yes
2025-01-05,Sunday,CSE Block,Academic,Afternoon,102,283,70.8,33,60,223,8,2264,156.1,Yes
2025-01-05,Sunday,CSE Block,Academic,Evening,67,213,53.2,33,41,172,8,1704,120.4,Yes
2025-01-05,Sunday,CSE Block,Academic,Night,162,70,17.5,33,0,70,8,560,49,Yes
2025-01-05,Sunday,ECE Block,Academic,Morning,122,225,56.2,33,30,195,8,1800,136.5,Yes
2025-01-05,Sunday,ECE Block,Academic,Afternoon,91,289,72.2,33,28,261,8,2312,182.7,Yes
2025-01-05,Sunday,ECE Block,Academic,Evening,104,185,46.2,33,36,149,8,1480,104.3,Yes
2025-01-05,Sunday,ECE Block,Academic,Night,67,98,24.5,33,0,98,8,784,68.6,Yes
2025-01-05,Sunday,EEE Block,Academic,Morning,147,199,49.8,33,28,171,8,1592,119.7,Yes
2025-01-05,Sunday,EEE Block,Academic,Afternoon,172,281,70.2,33,57,224,8,2248,156.8,Yes
2025-01-05,Sunday,EEE Block,Academic,Evening,122,173,43.2,33,17,156,8,1384,109.2,Yes
2025-01-05,Sunday,EEE Block,Academic,Night,177,69,17.2,33,0,69,8,552,48.3,Yes
2025-01-05,Sunday,Mechanical Lab,Laboratory,Morning,73,470,117.5,33,68,402,8,3760,281.4,Yes
2025-01-05,Sunday,Mechanical Lab,Laboratory,Afternoon,27,568,142,33,100,468,8,4544,327.6,Yes
2025-01-05,Sunday,Mechanical Lab,Laboratory,Evening,65,399,99.8,33,86,313,8,3192,219.1,Yes
2025-01-05,Sunday,Mechanical Lab,Laboratory,Night,37,207,51.8,33,0,207,8,1656,144.9,Yes
2025-01-05,Sunday,Civil Block,Academic,Morning,164,199,49.8,33,42,157,8,1592,109.9,Yes
2025-01-05,Sunday,Civil Block,Academic,Afternoon,202,262,65.5,33,35,227,8,2096,158.9,Yes
2025-01-05,Sunday,Civil Block,Academic,Evening,190,187,46.8,33,34,153,8,1496,107.1,Yes
2025-01-05,Sunday,Civil Block,Academic,Night,128,65,16.2,33,0,65,8,520,45.5,Yes
2025-01-05,Sunday,Library,Library,Morning,84,201,50.2,33,18,183,8,1608,128.1,Yes
2025-01-05,Sunday,Library,Library,Afternoon,105,242,60.5,33,22,220,8,1936,154,Yes
2025-01-05,Sunday,Library,Library,Evening,85,183,45.8,33,27,156,8,1464,109.2,Yes
2025-01-05,Sunday,Library,Library,Night,72,91,22.8,33,0,91,8,728,63.7,Yes
2025-01-05,Sunday,Administration,Administration,Morning,42,138,34.5,33,15,123,8,1104,86.1,Yes
2025-01-05,Sunday,Administration,Administration,Afternoon,21,212,53,33,34,178,8,1696,124.6,Yes
2025-01-05,Sunday,Administration,Administration,Evening,52,153,38.2,33,28,125,8,1224,87.5,Yes
2025-01-05,Sunday,Administration,Administration,Night,29,63,15.8,33,0,63,8,504,44.1,Yes
2025-01-05,Sunday,Hostel A,Hostel,Morning,426,332,83,33,29,303,8,2656,212.1,Yes
2025-01-05,Sunday,Hostel A,Hostel,Afternoon,473,431,107.8,33,89,342,8,3448,239.4,Yes
2025-01-05,Sunday,Hostel A,Hostel,Evening,308,317,79.2,33,43,274,8,2536,191.8,Yes
2025-01-05,Sunday,Hostel A,Hostel,Night,315,153,38.2,33,0,153,8,1224,107.1,Yes
2025-01-05,Sunday,Hostel B,Hostel,Morning,451,317,79.2,33,49,268,8,2536,187.6,Yes
2025-01-05,Sunday,Hostel B,Hostel,Afternoon,432,410,102.5,33,61,349,8,3280,244.3,Yes
2025-01-05,Sunday,Hostel B,Hostel,Evening,383,304,76,33,33,271,8,2432,189.7,Yes
2025-01-05,Sunday,Hostel B,Hostel,Night,499,131,32.8,33,0,131,8,1048,91.7,Yes
2025-01-05,Sunday,Cafeteria,Cafeteria,Morning,28,200,50,33,16,184,8,1600,128.8,Yes
2025-01-05,Sunday,Cafeteria,Cafeteria,Afternoon,70,245,61.2,33,28,217,8,1960,151.9,Yes
2025-01-05,Sunday,Cafeteria,Cafeteria,Evening,135,174,43.5,33,19,155,8,1392,108.5,Yes
2025-01-05,Sunday,Cafeteria,Cafeteria,Night,138,93,23.2,33,0,93,8,744,65.1,Yes
2025-01-06,Monday,CSE Block,Academic,Morning,380,224,56,30,19,205,8,1792,143.5,No
2025-01-06,Monday,CSE Block,Academic,Afternoon,359,290,72.5,30,63,227,8,2320,158.9,No
2025-01-06,Monday,CSE Block,Academic,Evening,245,193,48.2,30,19,174,8,1544,121.8,No
2025-01-06,Monday,CSE Block,Academic,Night,335,70,17.5,30,0,70,8,560,49,No
2025-01-06,Monday,ECE Block,Academic,Morning,286,222,55.5,30,26,196,8,1776,137.2,No
2025-01-06,Monday,ECE Block,Academic,Afternoon,295,257,64.2,30,23,234,8,2056,163.8,No
2025-01-06,Monday,ECE Block,Academic,Evening,433,190,47.5,30,34,156,8,1520,109.2,No
2025-01-06,Monday,ECE Block,Academic,Night,293,83,20.8,30,0,83,8,664,58.1,No
2025-01-06,Monday,EEE Block,Academic,Morning,257,199,49.8,30,28,171,8,1592,119.7,No
2025-01-06,Monday,EEE Block,Academic,Afternoon,357,280,70,30,60,220,8,2240,154,No
2025-01-06,Monday,EEE Block,Academic,Evening,351,198,49.5,30,27,171,8,1584,119.7,No
2025-01-06,Monday,EEE Block,Academic,Night,201,105,26.2,30,0,105,8,840,73.5,No
2025-01-06,Monday,Mechanical Lab,Laboratory,Morning,92,456,114,30,37,419,8,3648,293.3,No
2025-01-06,Monday,Mechanical Lab,Laboratory,Afternoon,105,572,143,30,89,483,8,4576,338.1,No
2025-01-06,Monday,Mechanical Lab,Laboratory,Evening,134,405,101.2,30,86,319,8,3240,223.3,No
2025-01-06,Monday,Mechanical Lab,Laboratory,Night,95,198,49.5,30,0,198,8,1584,138.6,No
2025-01-06,Monday,Civil Block,Academic,Morning,221,220,55,30,22,198,8,1760,138.6,No
2025-01-06,Monday,Civil Block,Academic,Afternoon,191,274,68.5,30,52,222,8,2192,155.4,No
2025-01-06,Monday,Civil Block,Academic,Evening,430,158,39.5,30,23,135,8,1264,94.5,No
2025-01-06,Monday,Civil Block,Academic,Night,207,97,24.2,30,0,97,8,776,67.9,No
2025-01-06,Monday,Library,Library,Morning,151,165,41.2,30,35,130,8,1320,91,No
2025-01-06,Monday,Library,Library,Afternoon,157,251,62.8,30,36,215,8,2008,150.5,No
2025-01-06,Monday,Library,Library,Evening,81,147,36.8,30,20,127,8,1176,88.9,No
2025-01-06,Monday,Library,Library,Night,101,67,16.8,30,0,67,8,536,46.9,No
2025-01-06,Monday,Administration,Administration,Morning,117,149,37.2,30,30,119,8,1192,83.3,No
2025-01-06,Monday,Administration,Administration,Afternoon,77,188,47,30,32,156,8,1504,109.2,No
2025-01-06,Monday,Administration,Administration,Evening,73,126,31.5,30,23,103,8,1008,72.1,No
2025-01-06,Monday,Administration,Administration,Night,88,67,16.8,30,0,67,8,536,46.9,No
2025-01-06,Monday,Hostel A,Hostel,Morning,318,338,84.5,30,28,310,8,2704,217,No
2025-01-06,Monday,Hostel A,Hostel,Afternoon,394,401,100.2,30,85,316,8,3208,221.2,No
2025-01-06,Monday,Hostel A,Hostel,Evening,435,283,70.8,30,61,222,8,2264,155.4,No
2025-01-06,Monday,Hostel A,Hostel,Night,254,157,39.2,30,0,157,8,1256,109.9,No
2025-01-06,Monday,Hostel B,Hostel,Morning,516,292,73,30,31,261,8,2336,182.7,No
2025-01-06,Monday,Hostel B,Hostel,Afternoon,461,430,107.5,30,72,358,8,3440,250.6,No
2025-01-06,Monday,Hostel B,Hostel,Evening,261,290,72.5,30,52,238,8,2320,166.6,No
2025-01-06,Monday,Hostel B,Hostel,Night,517,117,29.2,30,0,117,8,936,81.9,No
2025-01-06,Monday,Cafeteria,Cafeteria,Morning,222,192,48,30,34,158,8,1536,110.6,No
2025-01-06,Monday,Cafeteria,Cafeteria,Afternoon,289,237,59.2,30,25,212,8,1896,148.4,No
2025-01-06,Monday,Cafeteria,Cafeteria,Evening,152,181,45.2,30,24,157,8,1448,109.9,No
2025-01-06,Monday,Cafeteria,Cafeteria,Night,253,69,17.2,30,0,69,8,552,48.3,No
2025-01-07,Tuesday,CSE Block,Academic,Morning,185,235,58.8,31,30,205,8,1880,143.5,No
2025-01-07,Tuesday,CSE Block,Academic,Afternoon,438,289,72.2,31,53,236,8,2312,165.2,No
2025-01-07,Tuesday,CSE Block,Academic,Evening,214,195,48.8,31,15,180,8,1560,126,No
2025-01-07,Tuesday,CSE Block,Academic,Night,363,71,17.8,31,0,71,8,568,49.7,No
2025-01-07,Tuesday,ECE Block,Academic,Morning,254,219,54.8,31,42,177,8,1752,123.9,No
2025-01-07,Tuesday,ECE Block,Academic,Afternoon,384,257,64.2,31,43,214,8,2056,149.8,No
2025-01-07,Tuesday,ECE Block,Academic,Evening,266,207,51.8,31,27,180,8,1656,126,No
2025-01-07,Tuesday,ECE Block,Academic,Night,292,89,22.2,31,0,89,8,712,62.3,No
2025-01-07,Tuesday,EEE Block,Academic,Morning,237,233,58.2,31,32,201,8,1864,140.7,No
2025-01-07,Tuesday,EEE Block,Academic,Afternoon,363,273,68.2,31,25,248,8,2184,173.6,No
2025-01-07,Tuesday,EEE Block,Academic,Evening,160,186,46.5,31,20,166,8,1488,116.2,No
2025-01-07,Tuesday,EEE Block,Academic,Night,244,84,21,31,0,84,8,672,58.8,No
2025-01-07,Tuesday,Mechanical Lab,Laboratory,Morning,137,433,108.2,31,73,360,8,3464,252,No
2025-01-07,Tuesday,Mechanical Lab,Laboratory,Afternoon,156,605,151.2,31,126,479,8,4840,335.3,No
2025-01-07,Tuesday,Mechanical Lab,Laboratory,Evening,121,398,99.5,31,87,311,8,3184,217.7,No
2025-01-07,Tuesday,Mechanical Lab,Laboratory,Night,141,187,46.8,31,0,187,8,1496,130.9,No
2025-01-07,Tuesday,Civil Block,Academic,Morning,223,176,44,31,16,160,8,1408,112,No
2025-01-07,Tuesday,Civil Block,Academic,Afternoon,247,238,59.5,31,31,207,8,1904,144.9,No
2025-01-07,Tuesday,Civil Block,Academic,Evening,238,192,48,31,23,169,8,1536,118.3,No
2025-01-07,Tuesday,Civil Block,Academic,Night,316,73,18.2,31,0,73,8,584,51.1,No
2025-01-07,Tuesday,Library,Library,Morning,273,164,41,31,31,133,8,1312,93.1,No
2025-01-07,Tuesday,Library,Library,Afternoon,159,236,59,31,42,194,8,1888,135.8,No
2025-01-07,Tuesday,Library,Library,Evening,279,158,39.5,31,30,128,8,1264,89.6,No
2025-01-07,Tuesday,Library,Library,Night,269,89,22.2,31,0,89,8,712,62.3,No
2025-01-07,Tuesday,Administration,Administration,Morning,75,133,33.2,31,20,113,8,1064,79.1,No
2025-01-07,Tuesday,Administration,Administration,Afternoon,40,203,50.8,31,31,172,8,1624,120.4,No
2025-01-07,Tuesday,Administration,Administration,Evening,78,143,35.8,31,12,131,8,1144,91.7,No
